product_name,category,quantity_sold,unit_price,date
Standing Desk,Furniture,9,600,2025-03-29
Keyboard Mechanical,Electronics,65,120,2025-03-08
Mouse Wireless,Electronics,11,25,2025-03-08
Standing Desk,Furniture,17,600,2025-04-16
Desk Chair,Furniture,75,350,2025-04-10
Standing Desk,Furniture,50,600,2025-04-01
Desk Lamp,Furniture,53,50,2025-04-07
Screen Protector,Electronics,32,15,2025-03-22
Office Chair,Furniture,47,280,2025-03-28
"Monitor 27""",Electronics,65,400,2025-03-15
Standing Desk,Furniture,15,600,2025-03-18
"Monitor 27""",Electronics,82,400,2025-03-24
USB Cable,Electronics,69,5,2025-03-11
Desk Chair,Furniture,12,350,2025-03-05
USB Cable,Electronics,55,5,2025-03-30
Keyboard Mechanical,Electronics,67,120,2025-03-11
Office Chair,Furniture,13,280,2025-03-03
Keyboard Mechanical,Electronics,57,120,2025-03-21
Keyboard Mechanical,Electronics,83,120,2025-04-11
Keyboard Mechanical,Electronics,31,120,2025-03-08
Desk Chair,Furniture,58,350,2025-04-05
Keyboard Mechanical,Electronics,69,120,2025-04-07
Standing Desk,Furniture,44,600,2025-03-16
USB Cable,Electronics,39,5,2025-03-26
USB Cable,Electronics,52,5,2025-03-27
Standing Desk,Furniture,29,600,2025-04-06
USB Cable,Electronics,59,5,2025-04-16
Desk Lamp,Furniture,33,50,2025-03-14
Office Chair,Furniture,61,280,2025-03-30
Keyboard Mechanical,Electronics,58,120,2025-03-23
Screen Protector,Electronics,20,15,2025-03-19
Screen Protector,Electronics,10,15,2025-04-01
Desk Lamp,Furniture,78,50,2025-03-10
Office Chair,Furniture,60,280,2025-03-15
Mouse Wireless,Electronics,60,25,2025-04-11
Mouse Wireless,Electronics,52,25,2025-03-11
USB Cable,Electronics,73,5,2025-03-19
Office Chair,Furniture,23,280,2025-03-25
Keyboard Mechanical,Electronics,49,120,2025-03-15
"Monitor 27""",Electronics,35,400,2025-03-03
Office Chair,Furniture,32,280,2025-04-02
Desk Lamp,Furniture,43,50,2025-04-06
Office Chair,Furniture,72,280,2025-04-16
Standing Desk,Furniture,40,600,2025-03-28
Screen Protector,Electronics,9,15,2025-03-02
Office Chair,Furniture,52,280,2025-03-16
Mouse Wireless,Electronics,12,25,2025-03-18
Screen Protector,Electronics,16,15,2025-03-17
"Monitor 27""",Electronics,71,400,2025-03-29
Desk Chair,Furniture,63,350,2025-03-13
Standing Desk,Furniture,71,600,2025-03-11
Laptop Pro,Electronics,65,1200,2025-03-12
Standing Desk,Furniture,56,600,2025-03-14
Desk Lamp,Furniture,52,50,2025-03-10
Keyboard Mechanical,Electronics,34,120,2025-03-26
Keyboard Mechanical,Electronics,63,120,2025-03-21
Mouse Wireless,Electronics,33,25,2025-04-10
Laptop Pro,Electronics,34,1200,2025-04-16
USB Cable,Electronics,42,5,2025-03-05
Mouse Wireless,Electronics,66,25,2025-03-07
Screen Protector,Electronics,82,15,2025-03-09
Desk Lamp,Furniture,45,50,2025-03-31
Laptop Pro,Electronics,23,1200,2025-03-26
Screen Protector,Electronics,33,15,2025-03-27
USB Cable,Electronics,74,5,2025-03-28
USB Cable,Electronics,78,5,2025-03-28
Standing Desk,Furniture,36,600,2025-03-21
Desk Lamp,Furniture,27,50,2025-03-12
Desk Lamp,Furniture,75,50,2025-04-10
Keyboard Mechanical,Electronics,47,120,2025-03-28
Standing Desk,Furniture,12,600,2025-03-25
Office Chair,Furniture,48,280,2025-03-11
Screen Protector,Electronics,9,15,2025-03-03
Keyboard Mechanical,Electronics,41,120,2025-03-03
Desk Chair,Furniture,71,350,2025-04-06
Mouse Wireless,Electronics,10,25,2025-03-08
Standing Desk,Furniture,11,600,2025-04-15
Desk Chair,Furniture,81,350,2025-04-02
Desk Lamp,Furniture,17,50,2025-03-04
Laptop Pro,Electronics,49,1200,2025-03-26
"Monitor 27""",Electronics,75,400,2025-04-04
Office Chair,Furniture,9,280,2025-03-09
Office Chair,Furniture,34,280,2025-03-15
Keyboard Mechanical,Electronics,29,120,2025-03-20
Laptop Pro,Electronics,16,1200,2025-03-12
Office Chair,Furniture,22,280,2025-03-10
Office Chair,Furniture,42,280,2025-04-12
Desk Chair,Furniture,43,350,2025-03-18
Mouse Wireless,Electronics,36,25,2025-03-09
Laptop Pro,Electronics,39,1200,2025-04-13
USB Cable,Electronics,50,5,2025-03-31
Office Chair,Furniture,63,280,2025-04-04
Desk Chair,Furniture,34,350,2025-03-26
Laptop Pro,Electronics,80,1200,2025-03-13
Standing Desk,Furniture,67,600,2025-04-02
USB Cable,Electronics,13,5,2025-03-12
Office Chair,Furniture,67,280,2025-03-16
Desk Chair,Furniture,47,350,2025-03-26
USB Cable,Electronics,82,5,2025-04-09
Mouse Wireless,Electronics,29,25,2025-03-13
USB Cable,Electronics,38,5,2025-03-21
USB Cable,Electronics,12,5,2025-04-09
"Monitor 27""",Electronics,80,400,2025-04-12
Keyboard Mechanical,Electronics,57,120,2025-03-13
"Monitor 27""",Electronics,19,400,2025-03-03
Standing Desk,Furniture,62,600,2025-04-06
Laptop Pro,Electronics,16,1200,2025-04-10
Desk Lamp,Furniture,11,50,2025-04-13
Desk Chair,Furniture,61,350,2025-04-11
Laptop Pro,Electronics,54,1200,2025-03-19
Desk Lamp,Furniture,64,50,2025-03-16
Screen Protector,Electronics,30,15,2025-03-12
"Monitor 27""",Electronics,83,400,2025-03-02
Standing Desk,Furniture,76,600,2025-03-27
Office Chair,Furniture,37,280,2025-03-06
Mouse Wireless,Electronics,34,25,2025-04-08
Desk Chair,Furniture,24,350,2025-03-08
Desk Lamp,Furniture,84,50,2025-04-03
USB Cable,Electronics,36,5,2025-03-10
USB Cable,Electronics,58,5,2025-04-06
Keyboard Mechanical,Electronics,47,120,2025-03-21
"Monitor 27""",Electronics,64,400,2025-03-25
USB Cable,Electronics,42,5,2025-03-09
Screen Protector,Electronics,10,15,2025-04-07
USB Cable,Electronics,14,5,2025-04-06
Mouse Wireless,Electronics,68,25,2025-03-28
USB Cable,Electronics,83,5,2025-03-30
"Monitor 27""",Electronics,43,400,2025-04-10
"Monitor 27""",Electronics,65,400,2025-04-07
Laptop Pro,Electronics,54,1200,2025-03-15
