product_name,category,quantity_sold,unit_price,date
Mouse Wireless,Electronics,49,25,2025-02-12
USB Cable,Electronics,70,5,2025-02-20
Office Chair,Furniture,20,280,2025-02-26
Keyboard Mechanical,Electronics,46,120,2025-02-16
"Monitor 27""",Electronics,32,400,2025-02-04
Office Chair,Furniture,29,280,2025-03-23
USB Cable,Electronics,48,5,2025-02-20
Office Chair,Furniture,69,280,2025-03-07
Standing Desk,Furniture,37,600,2025-03-01
Screen Protector,Electronics,6,15,2025-02-03
Office Chair,Furniture,49,280,2025-02-17
Mouse Wireless,Electronics,9,25,2025-02-19
Screen Protector,Electronics,13,15,2025-02-18
"Monitor 27""",Electronics,68,400,2025-03-02
Desk Chair,Furniture,60,350,2025-02-14
Standing Desk,Furniture,68,600,2025-02-12
Laptop Pro,Electronics,62,1200,2025-02-13
Standing Desk,Furniture,53,600,2025-02-15
Desk Lamp,Furniture,49,50,2025-02-11
Keyboard Mechanical,Electronics,31,120,2025-02-27
Keyboard Mechanical,Electronics,60,120,2025-02-22
Mouse Wireless,Electronics,30,25,2025-03-14
Laptop Pro,Electronics,31,1200,2025-03-20
USB Cable,Electronics,39,5,2025-02-06
Mouse Wireless,Electronics,63,25,2025-02-08
Screen Protector,Electronics,19,15,2025-02-24
Keyboard Mechanical,Electronics,64,120,2025-02-04
Mouse Wireless,Electronics,53,25,2025-03-12
"Monitor 27""",Electronics,56,400,2025-03-24
USB Cable,Electronics,57,5,2025-03-03
Office Chair,Furniture,58,280,2025-02-28
"Monitor 27""",Electronics,44,400,2025-02-26
Desk Chair,Furniture,25,350,2025-02-26
Office Chair,Furniture,38,280,2025-02-22
Standing Desk,Furniture,58,600,2025-03-25
Laptop Pro,Electronics,52,1200,2025-03-21
Office Chair,Furniture,45,280,2025-02-12
Screen Protector,Electronics,6,15,2025-02-04
Keyboard Mechanical,Electronics,38,120,2025-02-04
Desk Chair,Furniture,68,350,2025-03-10
Mouse Wireless,Electronics,7,25,2025-02-09
Standing Desk,Furniture,8,600,2025-03-19
Desk Chair,Furniture,67,350,2025-03-23
Desk Lamp,Furniture,14,50,2025-02-05
Laptop Pro,Electronics,46,1200,2025-02-27
"Monitor 27""",Electronics,6,400,2025-02-10
Office Chair,Furniture,31,280,2025-02-16
Keyboard Mechanical,Electronics,26,120,2025-02-21
Laptop Pro,Electronics,13,1200,2025-02-13
Office Chair,Furniture,19,280,2025-02-11
Office Chair,Furniture,39,280,2025-03-16
Desk Chair,Furniture,40,350,2025-02-19
Mouse Wireless,Electronics,33,25,2025-02-10
Laptop Pro,Electronics,36,1200,2025-03-17
USB Cable,Electronics,47,5,2025-03-04
Office Chair,Furniture,60,280,2025-03-08
Desk Chair,Furniture,31,350,2025-02-27
Laptop Pro,Electronics,27,1200,2025-02-28
USB Cable,Electronics,68,5,2025-03-04
Laptop Pro,Electronics,26,1200,2025-03-08
USB Cable,Electronics,34,5,2025-03-23
Desk Chair,Furniture,44,350,2025-02-27
USB Cable,Electronics,16,5,2025-03-14
Desk Chair,Furniture,28,350,2025-03-18
USB Cable,Electronics,35,5,2025-02-22
USB Cable,Electronics,9,5,2025-03-13
"Monitor 27""",Electronics,42,400,2025-02-27
Desk Chair,Furniture,31,350,2025-02-08
Laptop Pro,Electronics,57,1200,2025-03-02
Office Chair,Furniture,5,280,2025-03-22
Mouse Wireless,Electronics,50,25,2025-02-04
Desk Chair,Furniture,58,350,2025-03-15
Laptop Pro,Electronics,51,1200,2025-02-20
Desk Lamp,Furniture,61,50,2025-02-17
Screen Protector,Electronics,27,15,2025-02-13
"Monitor 27""",Electronics,6,400,2025-03-01
Office Chair,Furniture,56,280,2025-03-22
Office Chair,Furniture,34,280,2025-02-07
Mouse Wireless,Electronics,31,25,2025-03-12
Desk Chair,Furniture,21,350,2025-02-09
Desk Lamp,Furniture,70,50,2025-03-03
"Monitor 27""",Electronics,21,400,2025-03-05
Standing Desk,Furniture,37,600,2025-02-22
Keyboard Mechanical,Electronics,33,120,2025-03-03
Desk Lamp,Furniture,63,50,2025-02-20
Mouse Wireless,Electronics,7,25,2025-03-23
Screen Protector,Electronics,63,15,2025-02-06
Office Chair,Furniture,20,280,2025-03-05
Standing Desk,Furniture,61,600,2025-03-12
USB Cable,Electronics,30,5,2025-02-20
Screen Protector,Electronics,30,15,2025-03-03
Screen Protector,Electronics,10,15,2025-03-19
Desk Lamp,Furniture,32,50,2025-02-08
Desk Lamp,Furniture,18,50,2025-02-11
Standing Desk,Furniture,22,600,2025-03-10
USB Cable,Electronics,45,5,2025-03-17
USB Cable,Electronics,54,5,2025-03-01
"Monitor 27""",Electronics,8,400,2025-02-10
"Monitor 27""",Electronics,6,400,2025-03-22
